company,ticker
Bombay Burmah Trading Corporation Limited,BBTC.NS
Brightcom Group Limited,BCG.NS
B.C. Power Controls Ltd,BCP.NS
Bharat Dynamics Limited,BDL.NS
Beardsell Limited,BEARDSELL.NS
Bedmutha Industries Limited,BEDMUTHA.NS
Bharat Electronics Limited,BEL.NS
BEML Limited,BEML.NS
Bhansali Engineering Polymers Limited,BEPL.NS
Berger Paints (I) Limited,BERGEPAINT.NS
BF Investment Limited,BFINVEST.NS
BF Utilities Limited,BFUTILITIE.NS
Bharatiya Global Infomedia Limited,BGLOBAL.NS
BGR Energy Systems Limited,BGRENERGY.NS
Bhageria Industries Limited,BHAGERIA.NS
Bhagyanagar India Limited,BHAGYANGR.NS
Bhagyanagar Properties Limited,BHAGYAPROP.NS
Bhandari Hosiery Exports Limited,BHANDARI.NS
Bharat Forge Limited,BHARATFORG.NS
Bharat Gears Limited,BHARATGEAR.NS
Bharat Rasayan Limited,BHARATRAS.NS
Bharat Wire Ropes Limited,BHARATWIRE.NS
Bharti Airtel Limited,BHARTIARTL.NS
Bharat Heavy Electricals Limited,BHEL.NS
Bigbloc Construction Limited,BIGBLOC.NS
Bhartiya International Limited,BIL.NS
Bil Energy Systems Limited,BILENERGY.NS
Oswal Chemicals & Fertilizers Limited,BINDALAGRO.NS
Biocon Limited,BIOCON.NS
Biofil Chemicals & Pharmaceuticals Limited,BIOFILCHEM.NS
Birla Cable Limited,BIRLACABLE.NS
Birla Corporation Limited,BIRLACORPN.NS
Aditya Birla Money Limited,BIRLAMONEY.NS
Bkm Industries Limited,BKMINDST.NS
BLB Limited,BLBLIMITED.NS
Bliss GVS Pharma Limited,BLISSGVS.NS
B. L. Kashyap and Sons Limited,BLKASHYAP.NS
BLS International Services Limited,BLS.NS
Blue Blends (I) Limited,BLUEBLENDS.NS
Blue Coast Hotels Limited,BLUECOAST.NS
Blue Dart Express Limited,BLUEDART.NS
Blue Star Limited,BLUESTARCO.NS
Bodal Chemicals Limited,BODALCHEM.NS
Bombay Dyeing & Mfg Company Limited,BOMDYEING.NS
Borosil Glass Works Limited,BOROSIL.NS
Bosch Limited,BOSCHLTD.NS
Bharat Petroleum Corporation Limited,BPCL.NS
BPL Limited,BPL.NS
Bombay Rayon Fashions Limited,BRFL.NS
Brigade Enterprises Limited,BRIGADE.NS
Britannia Industries Limited,BRITANNIA.NS
Bharat Road Network Limited,BRNL.NS
Brooks Laboratories Limited,BROOKS.NS
BSE Limited,BSE.NS
BSEL Infrastructure Realty Limited,BSELINFRA.NS
BSL Limited,BSL.NS
BIRLASOFT LIMITED,BSOFT.NS
Burnpur Cement Limited,BURNPUR.NS
Butterfly Gandhimathi Appliances Limited,BUTTERFLY.NS
Barak Valley Cements Limited,BVCL.NS
The Byke Hospitality Ltd,BYKE.NS
Cadila Healthcare Limited,CADILAHC.NS
California Software Company Limited,CALSOFT.NS
Camlin Fine Sciences Limited,CAMLINFINE.NS
Canara Bank,CANBK.NS
C & C Constructions Limited,CANDC.NS
Can Fin Homes Limited,CANFINHOME.NS
Cantabil Retail India Limited,CANTABIL.NS
Capacit�e Infraprojects Limited,CAPACITE.NS
Caplin Point Laboratories Limited,CAPLIPOINT.NS
Capital Trust Limited,CAPTRUST.NS
Carborundum Universal Limited,CARBORUNIV.NS
Career Point Limited,CAREERP.NS
CARE Ratings Limited,CARERATING.NS
Castex Technologies Limited,CASTEXTECH.NS
Castrol India Limited,CASTROLIND.NS
Country Club Hospitality & Holidays Limited,CCHHL.NS
CCL Products (India) Limited,CCL.NS
Central Depository Services (India) Limited,CDSL.NS
CEAT Limited,CEATLTD.NS
Commercial Engineers & Body Builders Co Limited,CEBBCO.NS
Celebrity Fashions Limited,CELEBRITY.NS
Celestial Biolabs Limited,CELESTIAL.NS
Century Enka Limited,CENTENKA.NS
Century Extrusions Limited,CENTEXT.NS
Central Bank of India,CENTRALBK.NS
Centrum Capital Limited,CENTRUM.NS
Centum Electronics Limited,CENTUM.NS
Century Plyboards (India) Limited,CENTURYPLY.NS
Century Textiles & Industries Limited,CENTURYTEX.NS
Cera Sanitaryware Limited,CERA.NS
Cerebra Integrated Technologies Limited,CEREBRAINT.NS
CESC Limited,CESC.NS
CESC Ventures Limited,CESCVENT.NS
Capri Global Capital Limited,CGCL.NS
CG Power and Industrial Solutions Limited,CGPOWER.NS
Chalet Hotels Limited,CHALET.NS
Chambal Fertilizers & Chemicals Limited,CHAMBLFERT.NS
Chemfab Alkalis Limited,CHEMFAB.NS
Chennai Petroleum Corporation Limited,CHENNPETRO.NS
Cholamandalam Investment and Finance Company Limited,CHOLAFIN.NS
Cholamandalam Financial Holdings Limited,CHOLAHLDNG.NS
Chromatic India Limited,CHROMATIC.NS
Cigniti Technologies Limited,CIGNITITEC.NS
Cimmco Limited,CIMMCO.NS
Cineline India Limited,CINELINE.NS
Cinevista Limited,CINEVISTA.NS
Cipla Limited,CIPLA.NS
Cox & Kings Financial Service Limited,CKFSL.NS
CL Educate Limited,CLEDUCATE.NS
Clariant Chemicals (India) Limited,CLNINDIA.NS
CMI Limited,CMICABLES.NS
CIL Nova Petrochemicals Limited,CNOVAPETRO.NS
Coal India Limited,COALINDIA.NS
Cochin Shipyard Limited,COCHINSHIP.NS
Coffee Day Enterprises Limited,COFFEEDAY.NS
Colgate Palmolive (India) Limited,COLPAL.NS
Compuage Infocom Limited,COMPINFO.NS
Compucom Software Limited,COMPUSOFT.NS
Container Corporation of India Limited,CONCOR.NS
Confidence Petroleum India Limited,CONFIPET.NS
Consolidated Finvest & Holdings Limited,CONSOFINVT.NS
Control Print Limited,CONTROLPR.NS
Coral India Finance & Housing Limited,CORALFINAC.NS
Cords Cable Industries Limited,CORDSCABLE.NS
Coromandel International Limited,COROMANDEL.NS
Corporation Bank,CORPBANK.NS
Cosmo Films Limited,COSMOFILMS.NS
Country Condo�s Limited,COUNCODOS.NS
Cox & Kings Limited,COX&KINGS.NS
Creative Peripherals and Distribution Limited,CREATIVE.NS
Creative Eye Limited,CREATIVEYE.NS
CREDITACCESS GRAMEEN LIMITED,CREDITACC.NS
Crest Ventures Limited,CREST.NS
CRISIL Limited,CRISIL.NS
Crompton Greaves Consumer Electricals Limited,CROMPTON.NS
Cambridge Technology Enterprises Limited,CTE.NS
City Union Bank Limited,CUB.NS
Cubex Tubings Limited,CUBEXTUB.NS
Cummins India Limited,CUMMINSIND.NS
Cupid Limited,CUPID.NS
Cura Technologies Limited,CURATECH.NS
Cyber Media (India) Limited,CYBERMEDIA.NS
Cybertech Systems And Software Limited,CYBERTECH.NS
Cyient Limited,CYIENT.NS
LT Foods Limited,DAAWAT.NS
Dabur India Limited,DABUR.NS
Dalmia Bharat Limited,DALBHARAT.NS
Dalmia Bharat Sugar and Industries Limited,DALMIASUG.NS
Damodar Industries Limited,DAMODARIND.NS
Datamatics Global Services Limited,DATAMATICS.NS
D.B.Corp Limited,DBCORP.NS
Dilip Buildcon Limited,DBL.NS
D B Realty Limited,DBREALTY.NS
DB (International) Stock Brokers Limited,DBSTOCKBRO.NS
Dishman Carbogen Amcis Limited,DCAL.NS
DCB Bank Limited,DCBBANK.NS
DCM� Limited,DCM.NS
DCM Financial Services Limited,DCMFINSERV.NS
DCM Nouvelle Limited,DCMNVL.NS
DCM Shriram Limited,DCMSHRIRAM.NS
